CourseID,UIN,Score
CHEM447,10002,27
ECON330,10003,91
HIST524,10004,83
PSY259,10005,37
BIO103,10006,35
BIO559,10007,50
MATH551,10008,35
CHEM263,10009,79
STAT698,10010,100
MUS284,10011,57
BIO610,10012,74
PSY250,10013,82
ECON230,10014,92
BIO432,10015,22
STAT331,10016,21
ASTR163,10017,100
ENG235,10018,4
CSCE336,10019,29
CSCE570,10020,56
ENG146,10021,64
PHYS533,10022,77
PHIL469,10023,99
ENG142,10024,1
ECON625,10025,6
ECE382,10026,42
CHEM259,10027,67
PHYS642,10028,0
PSY103,10029,90
BIO100,10030,85
STAT204,10031,59
ECE659,10032,100
ASTR231,10033,9
BIO650,10034,84
ART650,10035,100
ECE337,10036,15
ART181,10037,24
ART534,10038,27
ART595,10039,51
HIST474,10040,36
PHIL314,10041,1
CHEM529,10042,96
ECON508,10043,96
PHYS151,10044,56
HIST178,10045,64
BIO434,10046,42
MUS450,10047,32
MUS404,10048,32
PHYS179,10049,62
ASTR316,10050,9
PHIL385,10051,40
STAT388,10052,93
ASTR674,10053,46
CHEM481,10054,81
MUS508,10055,78
CSCE499,10056,28
CSCE661,10057,47
ASTR136,10058,9
PHYS397,10059,89
ART514,10060,80
PHYS172,10061,58
ENG106,10062,16
PSY554,10063,3
MATH675,10064,57
ECE195,10065,49
PHIL522,10066,81
ASTR559,10067,76
ECE232,10068,26
ECE498,10069,27
MUS288,10070,95
ART234,10071,84
PHYS618,10072,45
ASTR545,10073,41
ECON481,10074,80
ECE362,10075,25
ECE492,10076,92
CSCE251,10077,86
CHEM266,10078,4
ART165,10079,78
ART341,10080,26
ENG659,10081,98
ENG148,10082,17
BIO593,10083,100
PSY654,10084,51
MUS604,10085,47
PHIL190,10086,53
BIO587,10087,60
ART568,10088,35
BIO499,10089,17
ASTR161,10090,0
HIST134,10091,51
ECON143,10092,78
STAT280,10093,46
ECE469,10094,33
ART462,10095,10
MATH552,10096,18
MATH389,10097,70
ASTR551,10098,99
CHEM525,10099,88
BIO285,10100,20
BIO655,10101,50
MUS390,10102,48
MATH282,10103,90
CHEM154,10104,38
PHIL597,10105,73
MUS600,10106,34
ECON210,10107,13
PSY136,10108,1
CSCE511,10109,29
PHIL185,10110,96
MUS204,10111,70
ART647,10112,5
PSY386,10113,13
MATH280,10114,31
MATH186,10115,58
ECE643,10116,7
CHEM646,10117,91
ECON437,10118,11
BIO546,10119,31
ECE257,10120,3
PHYS229,10121,60
ASTR108,10122,18
PHYS149,10123,45
STAT581,10124,23
BIO642,10125,29
PHYS514,10126,27
MUS548,10127,3
ASTR243,10128,72
ASTR319,10129,28
ART516,10130,72
ECON593,10131,6
ASTR507,10132,51
ECE174,10133,74
PHYS337,10134,0
ECON391,10135,30
CHEM275,10136,44
MATH657,10137,2
PSY280,10138,7
PSY134,10139,98
CHEM119,10140,53
ECE171,10141,30
MUS585,10142,36
CSCE542,10143,38
ART352,10144,46
ENG562,10145,56
PHYS492,10146,87
MUS504,10147,53
PSY672,10148,76
CHEM297,10149,98
ENG501,10150,98
BIO138,10151,4
ECON163,10152,31
ECON326,10153,86
CHEM504,10154,33
STAT376,10155,52
CSCE450,10156,50
CHEM201,10157,41
PHIL430,10158,42
CHEM439,10159,32
MATH117,10160,96
HIST275,10161,63
ECE580,10162,65
CSCE348,10163,57
ASTR189,10164,72
ART655,10165,54
ASTR528,10166,74
CSCE638,10167,89
CSCE110,10168,29
PHIL633,10169,13
STAT627,10170,19
ENG440,10171,9
ENG623,10172,17
PSY482,10173,2
BIO137,10174,28
CHEM264,10175,6
CSCE294,10176,65
ENG625,10177,28
PHYS518,10178,27
ECE664,10179,46
ART150,10180,39
PSY456,10181,76
HIST278,10182,43
PSY261,10183,24
PHYS532,10184,17
BIO612,10185,16
ART477,10186,16
MUS208,10187,30
STAT552,10188,15
STAT321,10189,64
CSCE680,10190,25
ASTR604,10191,78
PSY325,10192,11
PHIL437,10193,30
